amfi_code,scheme_name,nav_date,nav
125497,HDFC_Top_100,2022-01-03,560.1443
125497,HDFC_Top_100,2022-01-04,560.7052
125497,HDFC_Top_100,2022-01-05,563.0884
125497,HDFC_Top_100,2022-01-06,561.0675
125497,HDFC_Top_100,2022-01-07,559.542
125497,HDFC_Top_100,2022-01-10,561.2523
125497,HDFC_Top_100,2022-01-11,555.8066
125497,HDFC_Top_100,2022-01-12,554.3405
125497,HDFC_Top_100,2022-01-13,550.4378
125497,HDFC_Top_100,2022-01-14,546.4134
125497,HDFC_Top_100,2022-01-17,536.617
125497,HDFC_Top_100,2022-01-18,543.2731
125497,HDFC_Top_100,2022-01-19,540.2724
125497,HDFC_Top_100,2022-01-20,546.1258
125497,HDFC_Top_100,2022-01-21,551.5823
125497,HDFC_Top_100,2022-01-24,545.6433
125497,HDFC_Top_100,2022-01-25,540.7096
125497,HDFC_Top_100,2022-01-26,553.344
125497,HDFC_Top_100,2022-01-27,562.2448
125497,HDFC_Top_100,2022-01-28,562.3786
125497,HDFC_Top_100,2022-01-31,563.9474
125497,HDFC_Top_100,2022-02-01,561.108
125497,HDFC_Top_100,2022-02-02,563.5422
125497,HDFC_Top_100,2022-02-03,560.278
125497,HDFC_Top_100,2022-02-04,550.6092
125497,HDFC_Top_100,2022-02-07,544.5099
125497,HDFC_Top_100,2022-02-08,544.8922
125497,HDFC_Top_100,2022-02-09,539.7623
125497,HDFC_Top_100,2022-02-10,539.7205
125497,HDFC_Top_100,2022-02-11,534.9053
125497,HDFC_Top_100,2022-02-14,531.5014
125497,HDFC_Top_100,2022-02-15,535.7919
125497,HDFC_Top_100,2022-02-16,537.2397
125497,HDFC_Top_100,2022-02-17,537.4711
125497,HDFC_Top_100,2022-02-18,541.9331
125497,HDFC_Top_100,2022-02-21,544.5158
125497,HDFC_Top_100,2022-02-22,551.7916
125497,HDFC_Top_100,2022-02-23,549.8418
125497,HDFC_Top_100,2022-02-24,548.0451
125497,HDFC_Top_100,2022-02-25,542.0719
125497,HDFC_Top_100,2022-02-28,540.3037
125497,HDFC_Top_100,2022-03-01,545.2016
125497,HDFC_Top_100,2022-03-02,551.7728
125497,HDFC_Top_100,2022-03-03,556.7528
125497,HDFC_Top_100,2022-03-04,548.2952
125497,HDFC_Top_100,2022-03-07,553.8435
125497,HDFC_Top_100,2022-03-08,545.217
125497,HDFC_Top_100,2022-03-09,549.8362
125497,HDFC_Top_100,2022-03-10,548.3385
125497,HDFC_Top_100,2022-03-11,552.0311
125497,HDFC_Top_100,2022-03-14,545.8636
125497,HDFC_Top_100,2022-03-15,551.8155
125497,HDFC_Top_100,2022-03-16,545.0131
125497,HDFC_Top_100,2022-03-17,542.0891
125497,HDFC_Top_100,2022-03-18,537.6157
125497,HDFC_Top_100,2022-03-21,529.6352
125497,HDFC_Top_100,2022-03-22,530.3504
125497,HDFC_Top_100,2022-03-23,539.1437
125497,HDFC_Top_100,2022-03-24,552.2594
125497,HDFC_Top_100,2022-03-25,553.018
125497,HDFC_Top_100,2022-03-28,558.7793
125497,HDFC_Top_100,2022-03-29,560.2132
125497,HDFC_Top_100,2022-03-30,562.9737
125497,HDFC_Top_100,2022-03-31,561.5672
125497,HDFC_Top_100,2022-04-01,562.8244
125497,HDFC_Top_100,2022-04-04,565.7904
125497,HDFC_Top_100,2022-04-05,563.2018
125497,HDFC_Top_100,2022-04-06,563.1074
125497,HDFC_Top_100,2022-04-07,563.1078
125497,HDFC_Top_100,2022-04-08,567.5195
125497,HDFC_Top_100,2022-04-11,562.499
125497,HDFC_Top_100,2022-04-12,562.5335
125497,HDFC_Top_100,2022-04-13,572.3948
125497,HDFC_Top_100,2022-04-14,578.5997
125497,HDFC_Top_100,2022-04-15,585.8275
125497,HDFC_Top_100,2022-04-18,586.2561
125497,HDFC_Top_100,2022-04-19,588.2214
125497,HDFC_Top_100,2022-04-20,593.7499
125497,HDFC_Top_100,2022-04-21,602.2871
125497,HDFC_Top_100,2022-04-22,592.315
125497,HDFC_Top_100,2022-04-25,585.7853
125497,HDFC_Top_100,2022-04-26,592.8951
125497,HDFC_Top_100,2022-04-27,591.7542
125497,HDFC_Top_100,2022-04-28,588.5626
125497,HDFC_Top_100,2022-04-29,582.3889
125497,HDFC_Top_100,2022-05-02,579.8443
125497,HDFC_Top_100,2022-05-03,573.0126
125497,HDFC_Top_100,2022-05-04,583.9792
125497,HDFC_Top_100,2022-05-05,584.1649
125497,HDFC_Top_100,2022-05-06,584.1677
125497,HDFC_Top_100,2022-05-09,587.5083
125497,HDFC_Top_100,2022-05-10,592.8215
125497,HDFC_Top_100,2022-05-11,598.0959
125497,HDFC_Top_100,2022-05-12,604.0974
125497,HDFC_Top_100,2022-05-13,601.0558
125497,HDFC_Top_100,2022-05-16,599.7883
125497,HDFC_Top_100,2022-05-17,604.1816
125497,HDFC_Top_100,2022-05-18,601.6883
125497,HDFC_Top_100,2022-05-19,601.9717
125497,HDFC_Top_100,2022-05-20,604.4041
125497,HDFC_Top_100,2022-05-23,608.918
125497,HDFC_Top_100,2022-05-24,599.7553
125497,HDFC_Top_100,2022-05-25,603.8592
125497,HDFC_Top_100,2022-05-26,602.9268
125497,HDFC_Top_100,2022-05-27,607.0134
125497,HDFC_Top_100,2022-05-30,611.5022
125497,HDFC_Top_100,2022-05-31,620.5554
125497,HDFC_Top_100,2022-06-01,628.331
125497,HDFC_Top_100,2022-06-02,636.1654
125497,HDFC_Top_100,2022-06-03,644.6493
125497,HDFC_Top_100,2022-06-06,646.6415
125497,HDFC_Top_100,2022-06-07,647.1589
125497,HDFC_Top_100,2022-06-08,652.4961
125497,HDFC_Top_100,2022-06-09,657.0614
125497,HDFC_Top_100,2022-06-10,655.611
125497,HDFC_Top_100,2022-06-13,658.2953
125497,HDFC_Top_100,2022-06-14,658.4312
125497,HDFC_Top_100,2022-06-15,653.8284
125497,HDFC_Top_100,2022-06-16,661.6532
125497,HDFC_Top_100,2022-06-17,662.317
125497,HDFC_Top_100,2022-06-20,674.7404
125497,HDFC_Top_100,2022-06-21,665.4799
125497,HDFC_Top_100,2022-06-22,662.5619
125497,HDFC_Top_100,2022-06-23,663.0946
125497,HDFC_Top_100,2022-06-24,670.125
125497,HDFC_Top_100,2022-06-27,672.8371
125497,HDFC_Top_100,2022-06-28,675.03
125497,HDFC_Top_100,2022-06-29,668.6973
125497,HDFC_Top_100,2022-06-30,662.2507
125497,HDFC_Top_100,2022-07-01,664.4796
125497,HDFC_Top_100,2022-07-04,656.8724
125497,HDFC_Top_100,2022-07-05,654.1358
125497,HDFC_Top_100,2022-07-06,657.371
125497,HDFC_Top_100,2022-07-07,652.0369
125497,HDFC_Top_100,2022-07-08,661.6753
125497,HDFC_Top_100,2022-07-11,669.2013
125497,HDFC_Top_100,2022-07-12,660.3316
125497,HDFC_Top_100,2022-07-13,655.2621
125497,HDFC_Top_100,2022-07-14,642.5165
125497,HDFC_Top_100,2022-07-15,638.4265
125497,HDFC_Top_100,2022-07-18,643.0878
125497,HDFC_Top_100,2022-07-19,641.0753
125497,HDFC_Top_100,2022-07-20,644.018
125497,HDFC_Top_100,2022-07-21,635.7573
125497,HDFC_Top_100,2022-07-22,640.5775
125497,HDFC_Top_100,2022-07-25,637.7781
125497,HDFC_Top_100,2022-07-26,638.1757
125497,HDFC_Top_100,2022-07-27,637.9822
125497,HDFC_Top_100,2022-07-28,631.1934
125497,HDFC_Top_100,2022-07-29,625.1296
125497,HDFC_Top_100,2022-08-01,630.8133
125497,HDFC_Top_100,2022-08-02,633.3636
125497,HDFC_Top_100,2022-08-03,639.586
125497,HDFC_Top_100,2022-08-04,641.7508
125497,HDFC_Top_100,2022-08-05,642.8922
125497,HDFC_Top_100,2022-08-08,633.5069
125497,HDFC_Top_100,2022-08-09,632.3243
125497,HDFC_Top_100,2022-08-10,632.4978
125497,HDFC_Top_100,2022-08-11,643.8189
125497,HDFC_Top_100,2022-08-12,648.0655
125497,HDFC_Top_100,2022-08-15,657.2434
125497,HDFC_Top_100,2022-08-16,661.057
125497,HDFC_Top_100,2022-08-17,657.2621
125497,HDFC_Top_100,2022-08-18,658.2808
125497,HDFC_Top_100,2022-08-19,659.994
125497,HDFC_Top_100,2022-08-22,654.8879
125497,HDFC_Top_100,2022-08-23,653.0084
125497,HDFC_Top_100,2022-08-24,652.1608
125497,HDFC_Top_100,2022-08-25,661.8026
125497,HDFC_Top_100,2022-08-26,650.1042
125497,HDFC_Top_100,2022-08-29,657.3936
125497,HDFC_Top_100,2022-08-30,652.3212
125497,HDFC_Top_100,2022-08-31,644.8078
125497,HDFC_Top_100,2022-09-01,651.889
125497,HDFC_Top_100,2022-09-02,656.4489
125497,HDFC_Top_100,2022-09-05,664.0946
125497,HDFC_Top_100,2022-09-06,669.1458
125497,HDFC_Top_100,2022-09-07,681.7643
125497,HDFC_Top_100,2022-09-08,685.4855
125497,HDFC_Top_100,2022-09-09,684.8934
125497,HDFC_Top_100,2022-09-12,687.3224
125497,HDFC_Top_100,2022-09-13,695.2598
125497,HDFC_Top_100,2022-09-14,690.8537
125497,HDFC_Top_100,2022-09-15,687.2477
125497,HDFC_Top_100,2022-09-16,685.7314
125497,HDFC_Top_100,2022-09-19,673.4684
125497,HDFC_Top_100,2022-09-20,674.637
125497,HDFC_Top_100,2022-09-21,663.8502
125497,HDFC_Top_100,2022-09-22,664.5036
125497,HDFC_Top_100,2022-09-23,669.9395
125497,HDFC_Top_100,2022-09-26,667.4721
125497,HDFC_Top_100,2022-09-27,677.7674
125497,HDFC_Top_100,2022-09-28,669.4388
125497,HDFC_Top_100,2022-09-29,676.858
125497,HDFC_Top_100,2022-09-30,681.2515
125497,HDFC_Top_100,2022-10-03,671.3653
125497,HDFC_Top_100,2022-10-04,687.9638
125497,HDFC_Top_100,2022-10-05,687.9319
